codigo_cie;codigo_inep;nome_escola;nome_municipio;DS_LATITUDE;DS_LONGITUDE;IDESP_AI_18;IDESP_AF_18;IDESP_EM_18;saresp3EF_Mat;saresp3EF_LP;saresp5EF_Mat;saresp5EF_LP;saresp9EF_Mat;saresp9EF_LP;saresp3EM_Mat;saresp3EM_LP;NO_CATEGORIA;NO_DEPENDENCIA;MEDIA_ALUNOS_TURMA_AI;MEDIA_ALUNOS_TURMA_AF;MEDIA_ALUNOS_TURMA_EM;INSE;COMPLEXIDADE_ESCOLAR;REGULARIDADE_DOCENTE;FUN_AI_CAT_1;FUN_AI_CAT_2;FUN_AI_CAT_3;FUN_AI_CAT_4;FUN_AI_CAT_5;FUN_AI_CAT_6;FUN_AF_CAT_1;FUN_AF_CAT_2;FUN_AF_CAT_3;FUN_AF_CAT_4;FUN_AF_CAT_5;FUN_AF_CAT_6;MED_CAT_1;MED_CAT_2;MED_CAT_3;MED_CAT_4;MED_CAT_5;MED_CAT_6;NUM_Diretores_2014a2019;Sexo_Diretor;Faixa_Etaria_Diretor;TX_RESP_Q004;TX_RESP_Q006;TX_RESP_Q008;TX_RESP_Q010;TX_RESP_Q014;TX_RESP_Q015;TX_RESP_Q016;TX_RESP_Q017;TX_RESP_Q018;TX_RESP_Q019;TX_RESP_Q026;TX_RESP_Q027;TX_RESP_Q028;TX_RESP_Q032;TX_RESP_Q037;TX_RESP_Q038;TX_RESP_Q039;TX_RESP_Q040;TX_RESP_Q041;TX_RESP_Q042;TX_RESP_Q043;TX_RESP_Q044;TX_RESP_Q045;TX_RESP_Q046;TX_RESP_Q047;TX_RESP_Q048;TX_RESP_Q049;TX_RESP_Q050;TX_RESP_Q051;TX_RESP_Q052;TX_RESP_Q053;TX_RESP_Q054;TX_RESP_Q055;TX_RESP_Q077;TX_RESP_Q078;TX_RESP_Q079;TX_RESP_Q080;TX_RESP_Q086;TEM_GREMIO;PEI;ETI;TX_RESP_Q067;TX_RESP_Q068;TX_RESP_Q069;TX_RESP_Q070;TX_RESP_Q071;TX_RESP_Q072;TX_RESP_Q073;TX_RESP_Q074;TX_RESP_Q075;TX_RESP_Q076;TX_RESP_Q081;TX_RESP_Q082;TX_RESP_Q083;TX_RESP_Q084;TX_RESP_Q085;TX_RESP_Q090;TX_RESP_Q091;TX_RESP_Q092;TX_RESP_Q093;TX_RESP_Q094;TX_RESP_Q095;TX_RESP_Q096;TX_RESP_Q097;TX_RESP_Q098;TX_RESP_Q099;TX_RESP_Q100;TX_RESP_Q101;TX_RESP_Q102;TX_RESP_Q103;TX_RESP_Q104;TX_RESP_Q105;TX_RESP_Q106;TX_RESP_Q107;TX_RESP_Q108
279;35000279;GALDINO LOPES CHAGAS PROFESSOR;SAO PAULO;-23,4683;-46,6975;6,3;NULL;NULL;223,5;179,1;241,7;222,2;NULL;NULL;NULL;NULL;Urbana;Estadual;29,7;NULL;NULL;4,65;Nível 2;3,3;0;61,4;13,6;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;Feminino;55mais;;B;A;H;F;F;E;A;G;A;A;B;D;F;C;B;D;H;D;D;B;C;C;C;C;C;B;B;B;C;B;A;B;B;A;A;A;B;Sim;Não;Não;A;A;B;A;A;A;A;A;A;A;A;A;B;B;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;A;B;B;B;A
292;35000292;DALILA DE ANDRADE COSTA PROFESSORA;SAO PAULO;-23,4538;-46,6856;3,88;NULL;NULL;187,1;171,6;199,7;190,4;NULL;NULL;NULL;NULL;Urbana;Estadual;26;NULL;NULL;6,05;Nível 2;2,7;38,5;30,8;3,8;23,1;0;3,8;0;0;0;0;0;0;0;0;0;0;0;0;12;Feminino;De40a49;D;B;C;H;D;E;E;D;G;B;B;E;D;H;C;A;E;B;C;D;B;C;C;C;C;C;C;B;B;C;B;B;B;B;A;A;A;B;Sim;Não;Não;C;A;A;A;C;B;A;A;A;A;A;A;B;B;A;B;A;B;B;B;B;B;B;B;B;A;A;A;B;A;B;B;B;A
309;35000309;BENEDITO TOLOSA PROFESSOR;SAO PAULO;-23,51064;-46,6577;4,48;2,96;2,41;207,4;173,7;208,7;200,8;242,7;248,2;270,6;275,9;Urbana;Estadual;21,5;30;30,8;2,37;Nível 4;2,6;22,3;0;11,1;33,3;22,2;11,1;0;4,8;0;71,4;14,3;9,5;0;0;7,1;78,6;14,3;0;56;Feminino;55mais;D;B;A;H;G;F;A;A;G;B;B;E;D;F;E;A;D;B;C;C;B;C;C;C;C;C;B;B;B;B;B;A;A;B;A;A;A;B;Sim;Não;Não;A;A;A;A;A;A;A;A;A;A;A;A;B;B;A;A;A;B;B;B;B;A;A;A;B;A;A;A;A;A;A;A;A;A
310;35000310;ARY BARROSO;SAO PAULO;-23,49786;-46,65553;5,12;NULL;NULL;206,9;176,3;219,3;210,2;NULL;NULL;NULL;NULL;Urbana;Estadual;27;NULL;NULL;4,35;Nível 2;2,6;18,6;37;18,5;11,1;11,1;3,7;0;0;0;0;0;0;0;0;0;0;0;0;16;Masculino;De30a29;D;B;A;G;G;E;A;A;C;A;B;D;B;E;C;B;E;H;D;D;B;C;C;C;C;C;A;B;B;C;C;B;B;B;A;A;A;B;Não;Não;Não;B;B;B;A;A;A;A;A;A;A;A;A;B;A;A;A;A;B;B;B;B;B;B;B;B;A;A;A;B;A;B;A;A;A
346;35000346;MANOEL DA NOBREGA PADRE;SAO PAULO;-23,4999;-46,69788;5,98;NULL;NULL;226,8;203,2;234;226,7;NULL;NULL;NULL;NULL;Urbana;Estadual;29,3;NULL;NULL;1,94;Nível 2;3;3,8;37;11,1;44,4;3,7;0;0;0;0;0;0;0;0;0;0;0;0;0;12;Feminino;De50a54;D;B;D;I;A;F;E;D;G;B;B;E;E;H;C;D;D;H;B;E;B;D;D;D;D;D;A;B;B;C;C;B;D;B;A;A;A;B;Não;Não;Não;C;A;B;C;C;B;A;B;A;C;A;A;B;B;A;B;A;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A
358;35000358;MATILDE MACEDO SOARES;SAO PAULO;-23,49567;-46,66732;5,39;2,87;NULL;207,5;186,3;226,8;214;241,3;236,6;NULL;NULL;Urbana;Estadual;24,9;29,7;NULL;4,12;Nível 3;2,7;28,7;21,4;21,4;21,4;7,1;0;0;8,7;26,1;60,9;4,3;0;0;0;0;0;0;0;42;Feminino;55mais;D;B;C;J;G;H;D;C;G;B;A;A;D;H;C;B;D;B;E;E;B;C;C;C;C;C;B;D;D;C;D;B;B;B;A;B;B;B;Sim;Não;Não;C;C;C;D;B;A;D;C;B;B;A;A;B;B;A;A;A;B;B;B;B;B;B;B;B;A;A;A;A;A;A;B;B;A
361;35000361;PASQUALE PECCICACCO;SAO PAULO;-23,49218;-46,69765;5,36;NULL;NULL;193,1;181,3;223,2;216,6;NULL;NULL;NULL;NULL;Urbana;Estadual;28,4;NULL;NULL;2,05;Nível 2;2,8;5,2;47,4;13,2;26,3;5,3;2,6;0;0;0;0;0;0;0;0;0;0;0;0;16;Feminino;55mais;D;B;A;I;D;H;C;A;G;A;A;A;C;F;C;B;D;B;B;C;B;D;D;D;D;D;B;B;B;C;C;A;A;B;A;A;A;B;Sim;Não;Não;A;B;B;A;A;A;A;A;A;C;A;A;B;B;A;B;A;B;B;B;B;B;B;B;B;B;A;B;B;A;B;A;A;A
371;35000371;ANTONIO JOSE LEITE PROF;SAO PAULO;-23,4705;-46,6553;NULL;3,23;2,38;NULL;NULL;NULL;NULL;255,7;252,8;272,6;280,8;Urbana;Estadual;NULL;33,2;36,7;3,86;Nível 4;2,9;0;0;0;0;0;0;0;8,4;8,3;50;22,2;11,1;0;3,5;13,8;51,7;27,6;3,4;16;Feminino;De50a54;;B;C;I;C;G;A;A;F;B;B;D;B;E;D;C;F;H;D;D;B;C;C;C;C;B;B;C;C;B;B;B;B;B;A;A;A;B;Sim;Não;Não;D;D;C;A;B;A;C;B;C;B;A;A;B;A;A;A;A;B;B;B;B;A;A;A;B;A;B;A;B;A;B;B;B;A
383;35000383;ANTOINE DE SAINT EXUPERY;SAO PAULO;-23,4915;-46,68132;NULL;3,14;2,53;NULL;NULL;NULL;NULL;249,4;243,8;271,5;276,7;Urbana;Estadual;NULL;35,9;36,3;2,74;Nível 4;2,9;0;0;0;0;0;0;0;17,6;11,8;55,9;8,8;5,9;0;12,7;15,4;59;10,3;2,6;8;Feminino;De40a49;D;B;C;I;D;F;D;B;G;B;B;E;D;H;C;C;F;H;E;D;B;C;C;C;C;C;A;B;B;B;B;C;B;B;A;A;A;B;Sim;Não;Não;D;D;C;A;D;D;B;A;C;A;A;A;B;B;A;B;A;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A
395;35000395;JOAQUIM LUIZ DE BRITO PROFESSOR;SAO PAULO;-23,4886;-46,6907;NULL;3,34;1,97;NULL;NULL;NULL;NULL;259,7;253,9;264,8;275,1;Urbana;Estadual;NULL;25,4;31,1;3,25;Nível 5;3,2;0;0;0;0;0;0;0;5;0;60;15;20;0;2,8;14,3;42,9;20;20;8;Feminino;55mais;D;B;C;I;G;G;E;E;G;B;B;D;D;H;C;A;D;B;C;D;B;C;D;C;C;C;B;C;D;C;;A;A;B;A;A;A;B;Sim;Não;Não;A;B;D;A;A;A;B;B;A;D;B;A;B;A;B;A;A;B;B;B;B;A;A;B;B;A;A;A;A;A;A;A;A;A
425;35000425;REPUBLICA DO CHILE;SAO PAULO;-23,47013;-46,66342;6,74;NULL;NULL;259,6;196,9;247,9;236,6;NULL;NULL;NULL;NULL;Urbana;Estadual;32,1;NULL;NULL;3,81;Nível 2;3,5;0;46,7;0;53,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;Feminino;De40a49;D;B;C;I;D;F;F;C;G;B;B;E;E;H;C;D;D;I;D;D;B;C;C;C;C;C;B;C;C;C;B;A;B;A;A;A;A;B;Sim;Não;Não;D;C;C;A;C;A;D;D;A;C;A;A;B;B;A;A;A;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A
437;35000437;ANGELINA MADUREIRA PROFESSORA;SAO PAULO;-23,49859;-46,68065;5,57;NULL;NULL;249,3;196,3;228;219,7;NULL;NULL;NULL;NULL;Urbana;Estadual;28,1;NULL;NULL;2,4;Nível 2;2,9;10;33,3;16,7;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;Feminino;De40a49;D;B;A;G;F;G;A;A;F;B;B;D;D;F;C;B;C;B;D;D;B;C;D;D;D;D;D;D;C;C;B;B;B;B;A;A;A;B;Não;Não;Não;C;D;A;A;B;A;A;A;A;B;A;B;B;A;A;B;B;B;B;B;B;B;B;B;B;B;A;A;B;A;B;B;A;A
474;35000474;MATHIAS AIRES;SAO PAULO;-23,4942;-46,7079;6,13;NULL;NULL;243,8;194,9;237,6;224,9;NULL;NULL;NULL;NULL;Urbana;Estadual;25,8;NULL;NULL;2,76;Nível 2;2,6;26;33,3;7,4;22,2;11,1;0;0;0;0;0;0;0;0;0;0;0;0;0;12;Masculino;55mais;D;B;C;H;A;E;F;C;G;B;B;E;D;F;C;A;E;B;D;D;B;C;C;D;D;D;B;B;B;C;D;B;B;B;B;A;A;B;Sim;Não;Não;A;D;C;A;C;A;B;A;A;A;A;A;B;A;A;B;B;B;B;B;B;B;B;B;B;A;B;B;B;A;B;A;A;A
504;35000504;MARIO TEIXEIRA MARIANO PROFESSOR;SAO PAULO;-23,48488;-46,67783;5,81;NULL;NULL;229,5;201,2;238,6;213,4;NULL;NULL;NULL;NULL;Urbana;Estadual;29,8;NULL;NULL;3,29;Nível 2;3,1;0;55,6;19,4;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;Feminino;De40a49;D;B;B;I;G;G;D;D;G;B;B;E;E;F;C;D;A;H;C;D;B;D;D;D;D;D;A;B;B;B;B;A;A;A;A;A;A;B;Não;Não;Não;D;D;B;B;D;A;C;D;B;C;A;B;B;B;A;B;A;B;B;B;B;B;B;B;B;B;A;B;B;A;B;B;B;A
516;35000516;JOSE CARLOS DIAS PROFESSOR;SAO PAULO;-23,50439;-46,66023;5,24;NULL;NULL;199,5;185,8;219;214,9;NULL;NULL;NULL;NULL;Urbana;Estadual;27,9;NULL;NULL;2,92;Nível 2;2,8;0;44;28;24;4;0;0;0;0;0;0;0;0;0;0;0;0;0;16;Feminino;De50a54;G;B;A;G;G;F;C;C;F;B;B;E;C;H;C;C;F;B;D;D;B;D;D;D;D;D;B;C;D;D;D;B;B;A;A;A;A;B;Não;Não;Não;A;A;A;A;A;A;A;A;A;A;A;A;B;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B
541;35000541;JOAQUIM NABUCO;SAO PAULO;-23,48857;-46,66578;5,25;NULL;NULL;213,7;186;222,6;211,4;NULL;NULL;NULL;NULL;Urbana;Estadual;28;NULL;NULL;4,65;Nível 2;3,2;6,2;56,3;9,4;28,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;Feminino;De40a49;D;B;A;J;G;G;D;D;G;B;A;A;C;H;C;A;D;B;B;D;B;C;C;C;C;C;B;B;C;C;C;A;B;B;A;A;A;B;Não;Não;Não;B;A;C;A;A;A;A;B;A;B;A;B;B;B;A;B;A;B;B;B;B;B;B;B;B;A;A;A;B;A;B;A;B;A
565;35000565;NOSSA SENHORA DO RETIRO;SAO PAULO;-23,47281;-46,71965;5,11;NULL;NULL;200,9;186,8;217,1;219,8;NULL;NULL;NULL;NULL;Urbana;Estadual;24,2;NULL;NULL;5,54;Nível 2;3;30,8;26,9;19,2;23,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;Feminino;De40a49;D;B;C;H;B;F;C;C;F;A;A;E;A;H;C;B;D;B;E;E;B;C;D;D;D;C;B;B;B;B;B;;A;B;A;A;A;A;Sim;Não;Não;B;C;D;A;C;A;B;B;A;C;A;A;B;B;A;B;A;B;B;B;B;B;B;B;B;B;A;B;A;A;B;B;B;B
590;35000590;PAULO SETUBAL;SAO PAULO;-23,48939;-46,67535;6,7;NULL;NULL;211,3;200,7;245,5;233,7;NULL;NULL;NULL;NULL;Urbana;Estadual;28,4;NULL;NULL;4;Nível 2;2,6;7,2;57,1;10,7;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;Feminino;De50a54;D;B;A;H;C;H;C;C;G;B;B;E;B;H;E;A;E;H;D;D;B;D;C;D;C;D;D;D;C;C;C;B;B;B;A;A;A;B;Não;Não;Não;C;C;C;A;B;A;B;A;B;B;B;A;B;B;A;A;A;B;B;B;B;B;B;B;B;A;A;A;B;A;A;A;A;A
